GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
crud-application,com.devops.crud.controller,UserController,42,98,0,0,9,22,3,9,3,9
crud-application,com.devops.crud.service,UserService,68,244,3,5,16,63,6,15,4,13
crud-application,com.devops.crud.entity,User,343,88,78,0,0,13,46,18,7,18
crud-application,com.devops.crud.entity,User.UserBuilder,32,60,0,0,0,1,3,9,3,9
crud-application,com.devops.crud,CrudApplication,5,3,0,0,2,1,1,1,1,1
crud-application,com.devops.crud.dto,ApiResponse.ApiResponseBuilder,12,35,0,0,0,1,1,6,1,6
crud-application,com.devops.crud.dto,ApiResponse,205,42,34,0,20,12,29,7,12,7
crud-application,com.devops.crud.dto,UserDTO.UserDTOBuilder,22,70,0,0,0,1,1,11,1,11
crud-application,com.devops.crud.dto,UserDTO,331,100,78,0,0,13,43,21,4,21
crud-application,com.devops.crud.exception,GlobalExceptionHandler.ErrorResponse.ErrorResponseBuilder,16,49,0,0,0,1,1,8,1,8
crud-application,com.devops.crud.exception,DuplicateEmailException,4,11,0,0,2,2,1,1,1,1
crud-application,com.devops.crud.exception,GlobalExceptionHandler.ErrorResponse,229,43,44,0,2,8,33,8,11,8
crud-application,com.devops.crud.exception,GlobalExceptionHandler,44,71,0,0,16,24,2,4,2,4
crud-application,com.devops.crud.exception,UserNotFoundException,9,11,0,0,4,2,2,1,2,1
